OrderDetails|OrderID
OrderID|Int32|8|ProductID|Int32|10|Quantity|Int32|8|UnitPriceOut|Double|12|UnitProfitness|Double|14
       1|      10|       1|         308|          28
       2|      11|       2|         132|          12
       3|      12|       3|          99|           9
       3|      14|       2|         9.9|         0.9
       4|      13|       2|        1485|         135
       5|      14|       5|         9.9|         0.9
       6|      11|       3|         132|          12
       7|      12|       1|          99|           9
       8|      13|       3|        1485|         135
       9|      14|       2|         9.9|         0.9
      10|      12|       1|          99|           9
      11|      10|       1|         308|          28
      12|      13|       4|        1485|         135
      13|      10|       2|         308|          28
      13|      11|       3|         132|          12
